"watershed","leaf_dry_mass","stem_dry_mass"
"Reference",0.0453,0.03
"Reference",0.0476,0.0338
"Reference",0.0423,0.0248
"Reference",0.0397,0.0194
"Reference",0.0204,0.018
"Reference",0.0317,0.0246
"Reference",0.0382,0.0316
"Reference",0.0179,0.015
"Reference",0.0286,0.0291
"Reference",0.0125,0.0149
"Reference",0.0297,0.0175
"Reference",0.0442,0.0276
"Reference",0.0512,0.028
"Reference",0.0479,0.0197
"Reference",0.0588,0.0329
"Reference",0.0523,0.0299
"Reference",0.0326,0.0213
"Reference",0.0586,0.0278
"Reference",0.0576,0.0326
"Reference",0.0357,0.0304
"Reference",0.038,0.0277
"Reference",0.0247,0.0164
"Reference",0.0549,0.0309
"Reference",0.059,0.0307
"Reference",0.0304,0.026
"Reference",0.0246,0.0146
"Reference",0.0355,0.0213
"Reference",0.0196,0.0158
"Reference",0.025,0.0158
"Reference",0.0535,0.0335
"Reference",0.0327,0.0212
"Reference",0.0179,0.0111
"Reference",0.0277,0.0125
"Reference",0.026,0.015
"Reference",0.059,0.0437
"Reference",0.0516,0.0289
"Reference",0.0234,0.0241
"Reference",0.02,0.0154
"Reference",0.0729,0.0326
"Reference",0.029,0.0152
"Reference",0.0306,0.0225
"Reference",0.04,0.0185
"Reference",0.0598,0.0217
"Reference",0.0369,0.0205
"Reference",0.0573,0.0252
"Reference",0.0392,0.0174
"Reference",0.0601,0.0261
"Reference",0.0443,0.0225
"Reference",0.0484,0.0214
"Reference",0.0485,0.0239
"Reference",0.0398,0.0224
"Reference",0.0383,0.019
"Reference",0.387,0.0232
"Reference",0.0424,0.0217
"Reference",0.0589,0.0379
"Reference",0.0485,0.0226
"Reference",0.0341,0.0225
"Reference",0.0351,0.0243
"Reference",0.06,0.0358
"Reference",0.0303,0.0244
"Reference",0.0321,0.0206
"Reference",0.0444,0.0248
"Reference",0.0402,0.0223
"Reference",0.0381,0.018
"Reference",0.0239,0.0222
"Reference",0.0274,0.0253
"Reference",0.029,0.0293
"Reference",0.0478,0.0214
"Reference",0.0438,0.0184
"Reference",0.0281,0.0192
"Reference",0.0446,0.0205
"Reference",0.0636,0.0233
"Reference",0.0413,0.0321
"Reference",0.0328,0.0177
"Reference",0.0279,0.0206
"Reference",0.0165,0.0158
"Reference",0.0502,0.0254
"Reference",0.0203,0.0152
